

2015年02月12日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
="084137","富邦J2","49000","6","46610","0.97","0.97","0.94","0.94","-","0.05","0.92","10","0.93","10","53.3"
="084138","富邦J3","0","0","0","--","--","--","--"," ","0","2.23","10","2.28","10","493"
="084139","富邦J4","0","0","0","--","--","--","--"," ","0","0.78","10","0.8","10","118.5"
="084140","富邦J5","0","0","0","--","--","--","--"," ","0","0.25","10","0.26","10","101"
="084141","2G元大","2067000","24","742140","0.39","0.39","0.34","0.36","-","0.08","0.37","100","0.38","110","168"
="084142","2H元大","60000","6","7900","0.13","0.14","0.13","0.13"," ","0","0.12","100","0.13","10","105"
="084143","2I元大","0","0","0","--","--","--","--"," ","0","2.45","100","2.55","10","202"
="084144","2J元大","10000","1","65000","6.5","6.5","6.5","6.5","-","0.2","5.2","1","6.5","15","2680"
="084145","2K元大","322000","7","208220","0.66","0.66","0.64","0.64","X","0","0.64","100","0.65","100","109"
="084146","國泰F4","1000","1","4440","4.44","4.44","4.44","4.44","X","0","4.44","120","4.54","10","22.4"
="084147","K2永豐","5000","1","1300","0.26","0.26","0.26","0.26","-","0.02","0.25","499","0.26","320","80.5"
="084148","K3永豐","10000","1","5200","0.52","0.52","0.52","0.52","X","0","0.51","499","0.52","232","99.8"
="084149","群益D1","0","0","0","--","--","--","--"," ","0","1.35","25","1.37","10","323.5"
="084150","群益D6","199000","5","241190","1.22","1.22","1.2","1.2","-","0.07","1.19","25","1.2","10","50"
="084151","群益D7","115000","11","163250","1.49","1.49","1.36","1.44","-","0.06","1.41","35","1.46","10","167"
="084152","群益E4","76000","3","62560","0.86","0.86","0.81","0.81","-","0.08","0.81","25","0.82","10","31.2"
="084153","永昌F7","0","0","0","--","--","--","--"," ","0","0.59","10","0.6","10","59.9"
="084154","永昌F8","0","0","0","--","--","--","--"," ","0","1.32","10","1.36","10","37.9"
="084155","永昌F9","0","0","0","--","--","--","--"," ","0","1.58","10","1.61","10","323.5"
="084156","永昌G1","0","0","0","--","--","--","--"," ","0","0.71","10","0.72","10","38.9"
="084157","永昌G2","0","0","0","--","--","--","--"," ","0","1.86","10","1.96","10","22.4"
="084158","永昌G3","85000","2","78200","0.92","0.92","0.92","0.92","-","0.01","0.91","10","0.93","10","40.4"
="084159","永昌G4","2000","2","1340","0.67","0.67","0.67","0.67","+","0.02","0.65","10","0.67","30","57.9"
="08415P","中信A5","72000","7","41190","0.55","0.58","0.55","0.58","+","0.02","0.57","100","0.58","100","0.00"
="084160","永昌G5","0","0","0","--","--","--","--"," ","0","1.34","10","1.4","10","158"
="084161","玉山7W","10000","1","8400","0.84","0.84","0.84","0.84","X","0","0.84","13","0.87","13","0.00"
="084162","國票KD","0","0","0","--","--","--","--"," ","0","1.82","998","1.85","25","0.00"
="084163","元富4K","0","0","0","--","--","--","--"," ","0","1.07","25","1.12","10","104"
="084164","元富4L","372000","7","82000","0.23","0.24","0.2","0.24","-","0.02","0.25","25","0.26","25","80.5"
="084165","元富4M","388000","13","423100","0.91","1.18","0.9","1.12","-","0.05","1.13","25","1.15","25","43.3"
="084166","元富4N","70000","2","36200","0.51","0.52","0.51","0.52","-","0.01","0.52","25","0.53","25","99.8"
="084167","元富4P","150000","4","70020","0.47","0.47","0.46","0.46","+","0.02","0.46","25","0.47","25","99.8"
="084168","元富4Q","100000","3","51300","0.52","0.52","0.51","0.51"," ","0","0.51","25","0.52","25","99.8"
="084169","元富4R","489000","9","309700","0.65","0.65","0.62","0.63"," ","0","0.63","25","0.64","25","33.25"
="084170","康和KD","0","0","0","--","--","--","--"," ","0","1.16","10","1.24","10","17.05"
="084171","凱基67","823000","19","614190","0.73","0.77","0.73","0.76","+","0.06","0.76","30","0.77","30","16.7"
="084172","凱基68","6000","2","3060","0.51","0.51","0.51","0.51","-","0.01","0.5","30","0.52","30","16.75"
="084173","凱基69","135000","3","105050","0.77","0.82","0.77","0.82","X","0","0.83","30","0.84","30","20.55"
="084174","凱基70","0","0","0","--","--","--","--"," ","0","1.24","30","1.28","30","21.15"
="084175","凱基71","99000","1","57420","0.58","0.58","0.58","0.58"," ","0","0.56","30","0.57","30","15.55"
="084176","凱基72","139000","6","152090","1.06","1.1","1.06","1.08","+","0.08","1.06","10","1.08","30","10.5"
="084177","凱基73","105000","3","108300","1.04","1.05","1.02","1.02","-","0.01","1","30","1.01","30","57.1"
="084178","凱基75","0","0","0","--","--","--","--"," ","0","0.73","30","0.74","30","29.35"
="084179","凱基76","119000","13","134210","1","1.15","1","1.14","X","0","1.07","30","1.08","30","92.4"
="084180","BJ第一","0","0","0","--","--","--","--"," ","0","2.3","10","2.39","10","22.4"
="084181","統一5G","0","0","0","--","--","--","--"," ","0","1.84","20","1.87","20","2680"
="084182","富邦J7","0","0","0","--","--","--","--"," ","0","2.39","10","2.42","10","2680"
="084183","富邦J8","90000","6","23600","0.26","0.27","0.26","0.26","+","0.01","0.25","10","0.26","10","47.6"
="084184","2P元大","42000","3","22180","0.54","0.54","0.52","0.53","-","0.01","0.52","100","0.53","100","17.3"
="084185","2Q元大","30000","3","80100","2.63","2.69","2.63","2.69","+","0.13","2.6","10","2.69","10","22.4"
="084186","2R元大","50000","2","33300","0.67","0.67","0.65","0.65","-","0.03","0.65","110","0.66","100","51.6"
="084187","2S元大","836000","4","518320","0.62","0.62","0.62","0.62","-","0.02","0.64","100","0.65","110","99.8"
="084188","2T元大","1456000","30","2138210","1.44","1.51","1.4","1.48","+","0.08","1.48","100","1.49","100","458"
="084189","2V元大","273000","8","184740","0.69","0.69","0.65","0.65","-","0.06","0.65","100","0.66","100","7.67"
="084190","2W元大","10000","1","19700","1.97","1.97","1.97","1.97","-","0.04","1.97","50","2","20","2680"
="084191","日盛YM","0","0","0","--","--","--","--"," ","0","0.51","25","0.52","25","99.8"
="084192","日盛YN","770000","23","488640","0.58","0.66","0.58","0.65","-","0.02","0.64","25","0.65","25","458"
="084193","國泰F6","149000","7","69640","0.49","0.49","0.46","0.47","-","0.04","0.46","190","0.48","100","20.5"
="084194","國泰F7","290000","8","436090","1.48","1.54","1.48","1.49","-","0.05","1.48","340","1.5","100","43.3"
="084195","K4永豐","40000","6","42500","1.1","1.1","1.05","1.05","-","0.02","1.06","100","1.08","100","0.00"
="084196","K5永豐","0","0","0","--","--","--","--"," ","0","0.31","499","0.32","250","26.25"
="084197","K6永豐","79000","3","172950","2.25","2.25","2.17","2.17","-","0.07","2.06","499","2.08","100","2680"
="084198","K7永豐","817000","17","649850","0.77","0.85","0.76","0.82","+","0.03","0.82","111","0.83","222","59.9"
="084199","K8永豐","138000","5","113780","0.83","0.83","0.78","0.82","+","0.05","0.81","499","0.82","200","173"
="084200","K9永豐","0","0","0","--","--","--","--"," ","0","0.22","499","0.23","250","21"
="084201","群益F3","2071000","72","453090","0.19","0.24","0.17","0.24","+","0.04","0.24","25","0.25","10","86.2"
="084202","群益F5","0","0","0","--","--","--","--"," ","0","2.4","25","2.44","10","58.5"
="084203","群益F6","25000","2","15550","0.62","0.63","0.62","0.63","-","0.16","0.68","25","0.69","10","80.5"
="084204","群益F7","40000","2","11900","0.3","0.3","0.29","0.29","-","0.11","0.35","25","0.36","10","80.5"
="084205","群益F8","30000","1","18300","0.61","0.61","0.61","0.61","-","0.02","0.61","25","0.62","10","99.8"
="084206","群益F9","140000","2","372100","2.76","2.76","2.65","2.65","X","0","2.69","25","2.78","10","22.4"
="084207","群益G1","0","0","0","--","--","--","--"," ","0","2.75","25","2.8","10","2680"
="084208","群益G2","88000","6","101320","2.26","2.26","1.06","1.15","+","0.04","1.03","25","1.13","10","16.6"
="084209","群益G4","1000","1","7600","7.6","7.6","7.6","7.6","+","0.65","7.3","25","7.45","10","84.5"
="084210","群益G5","50000","3","4150","0.09","0.09","0.08","0.08","X","0","0.08","25","0.09","10","112"
="084211","中信DF","100000","2","131000","1.31","1.31","1.31","1.31","X","0","1.3","10","1.31","100","288"
="084212","中信DG","0","0","0","--","--","--","--"," ","0","1.51","10","1.52","100","2680"
="084213","中信DH","0","0","0","--","--","--","--"," ","0","1.28","10","1.3","30","254.5"
="084214","中信DJ","0","0","0","--","--","--","--"," ","0","1.99","30","2.04","30","17.05"
="084215","中信DK","320000","32","22200","0.06","0.07","0.06","0.07","X","0","0.06","30","0.07","10","86.2"
="084216","中信DL","50000","3","14400","0.24","0.31","0.24","0.31","X","0","0.3","10","0.31","30","86.2"
="084217","中信DM","90000","1","114300","1.27","1.27","1.27","1.27","-","0.02","1.27","499","1.28","299","0.00"
="084218","凱基81","10000","1","2900","0.29","0.29","0.29","0.29","X","0","0.27","30","0.28","30","40.8"
="084219","凱基82","1122000","27","1089640","0.91","1.02","0.9","1","+","0.09","1","30","1.02","30","72"
="08421P","9A元富","0","0","0","--","--","--","--"," ","0","0.01","25","0.03","169","0.00"
="084220","國票KE","0","0","0","--","--","--","--"," ","0","3.23","25","3.29","25","0.00"
="084221","國票KF","101000","2","45470","0.45","0.47","0.45","0.47"," ","0","0.47","25","0.48","25","0.00"
="084222","國票KG","30000","1","31800","1.06","1.06","1.06","1.06","X","0","1.04","998","1.06","25","0.00"
="084223","國票KH","2000","1","4340","2.17","2.17","2.17","2.17","+","0.3","2.16","998","2.2","25","0.00"
="084224","元富4U","573000","33","730170","1.2","1.32","1.2","1.31","+","0.07","1.29","25","1.3","25","218.5"
="084225","元富4V","634000","15","1055440","1.65","1.71","1.64","1.66","-","0.09","1.66","25","1.68","25","16.6"
="084226","康和KF","20000","1","14600","0.73","0.73","0.73","0.73","+","0.03","0.7","10","0.71","10","56.1"
="084227","玉山7X","0","0","0","--","--","--","--"," ","0","2.68","13","2.78","13","0.00"
="084228","BK第一","29000","1","51330","1.77","1.77","1.77","1.77","X","0","1.7","10","1.76","10","37.9"
="084229","統一5H","688000","11","2114420","3.13","3.13","2.98","3.01","-","0.16","3.08","20","3.09","10","69"
="08422P","統一JT","190000","4","150600","0.79","0.8","0.77","0.77","-","0.07","0.74","20","0.76","20","0.00"
="084230","統一5J","0","0","0","--","--","--","--"," ","0","2.44","20","2.49","10","2680"
="084231","富邦K5","0","0","0","--","--","--","--"," ","0","0.82","11","0.85","12","52.2"
="084232","富邦K6","100000","3","67500","0.67","0.68","0.67","0.68","-","0.03","0.68","10","0.69","10","27.35"
="084233","富邦K7","304000","2","569920","1.88","1.88","1.8","1.8","+","0.04","1.81","10","1.84","10","148.5"
="084234","富邦K8","4000","1","7360","1.84","1.84","1.84","1.84","+","0.49","1.72","10","1.76","10","148.5"
="084235","富邦K9","0","0","0","--","--","--","--"," ","0","0.26","10","0.27","10","40.8"
="084236","富邦L1","261000","12","164970","0.69","0.75","0.56","0.56","-","0.06","0.56","10","0.57","10","7.67"
="084237","富邦L2","0","0","0","--","--","--","--"," ","0","0.37","10","0.38","10","7.67"
="084238","3B元大","351000","22","258550","0.74","0.75","0.72","0.75","+","0.02","0.75","57","0.76","100","22.95"
="084239","3C元大","105000","2","184750","1.76","1.76","1.75","1.75","-","0.03","1.74","100","1.78","10","15.65"
="084240","3F元大","38000","4","10940","0.3","0.3","0.28","0.28","-","0.06","0.34","100","0.35","100","80.5"
="084241","3G元大","10000","1","21900","2.19","2.19","2.19","2.19","+","0.09","2.08","100","2.16","10","53.5"
="084242","3H元大","246000","6","286500","1.11","1.17","1.11","1.11","-","0.01","1.08","100","1.11","150","11.55"
="084243","3I元大","105000","11","166200","1.64","1.64","1.51","1.53","+","0.02","1.54","100","1.58","100","148.5"
="084244","3J元大","73000","3","98550","1.35","1.35","1.35","1.35","+","0.09","1.29","100","1.33","100","148.5"
="084245","3K元大","1000","1","5200","5.2","5.2","5.2","5.2"," ","0","5.15","10","5.35","10","22.12"
="084246","3L元大","0","0","0","--","--","--","--"," ","0","7.25","10","7.45","10","30.68"
="084247","3M元大","971000","24","1471020","1.52","1.63","1.42","1.63","+","0.09","1.56","100","1.59","100","58.5"
="084248","3N元大","90000","3","76500","0.85","0.85","0.85","0.85","+","0.09","0.83","5","0.85","120","10.5"
="084249","3P元大","241000","4","178840","0.75","0.75","0.73","0.73","-","0.02","0.75","100","0.76","100","99.8"
="084250","3Q元大","120000","8","106230","0.85","0.92","0.84","0.89","+","0.04","0.86","10","0.87","10","36.65"
="084251","3R元大","80000","1","24800","0.31","0.31","0.31","0.31","X","0","0.29","100","0.3","100","112"
="084252","3S元大","479000","20","577350","1.19","1.23","1.17","1.23","+","0.06","1.19","100","1.21","100","173"
="084253","3U元大","543000","15","1058040","1.88","1.97","1.88","1.97","+","0.17","1.93","120","1.95","100","288"
="084254","國泰F8","6000","1","9900","1.65","1.65","1.65","1.65","X","0","1.59","519","1.61","10","10.5"
="084255","L1永豐","0","0","0","--","--","--","--"," ","0","0.13","200","0.14","200","105"
="084256","L2永豐","85000","7","147900","1.71","1.86","1.7","1.84","+","0.15","1.82","499","1.87","10","218.5"
="084257","群益G9","17000","2","10100","0.6","0.6","0.59","0.59","-","0.06","0.57","25","0.58","10","25.4"
="084258","群益H1","2000","1","720","0.36","0.36","0.36","0.36"," ","0","0.34","25","0.35","10","20.5"
="084259","群益H2","0","0","0","--","--","--","--"," ","0","0.2","25","0.21","10","168"
="084260","群益H3","30000","2","43200","1.44","1.44","1.44","1.44","+","0.04","1.33","25","1.4","10","148.5"
="084261","日盛YP","32000","2","32620","1.01","1.02","1.01","1.02","+","0.04","1.01","25","1.02","25","173"
="084262","日盛YQ","1000","1","1870","1.87","1.87","1.87","1.87","-","0.01","1.84","25","1.85","25","2680"
="084263","日盛YR","0","0","0","--","--","--","--"," ","0","2.79","25","2.8","25","78.3"
="084264","兆豐EU","0","0","0","--","--","--","--"," ","0","0.44","10","0.45","30","26.25"
="084265","兆豐EW","10000","1","21300","2.13","2.13","2.13","2.13","+","0.01","2.07","10","2.09","10","2680"
="084266","兆豐EX","10000","1","8600","0.86","0.86","0.86","0.86","-","0.01","0.84","10","0.85","30","36.6"
="084267","元富4Y","14000","2","5180","0.37","0.37","0.37","0.37","-","0.04","0.36","25","0.37","25","7.67"
="084268","元富4Z","7000","1","9730","1.39","1.39","1.39","1.39","X","0","1.35","25","1.38","10","10.5"
="084269","國票KK","172000","5","113110","0.65","0.66","0.65","0.66","+","0.01","0.66","25","0.67","25","0.00"
="084270","BL第一","0","0","0","--","--","--","--"," ","0","0.66","10","0.67","10","276"
="084271","統一5K","795000","14","741090","0.93","0.95","0.93","0.94","+","0.01","0.93","68","0.94","68","15.5"
="084272","統一5L","5000","1","6450","1.29","1.29","1.29","1.29","+","0.05","1.25","20","1.26","10","341.5"
="084273","統一5M","444000","8","445920","0.97","1.02","0.97","0.99","+","0.03","1.01","20","1.02","20","288"
="084274","富邦L5","8000","4","5420","0.77","0.77","0.66","0.67","-","0.16","0.67","30","0.69","30","254.5"
="084275","富邦L6","88000","3","88360","1.01","1.01","0.99","0.99","-","0.03","0.96","10","0.98","10","37.9"
="084276","凱基84","178000","4","422720","2.35","2.46","2.35","2.37","-","0.01","2.34","30","2.36","30","493"
="084277","凱基85","101000","10","87180","0.81","0.88","0.81","0.86","+","0.05","0.83","30","0.84","30","74"
="084278","凱基86","250000","17","400380","1.67","1.7","1.58","1.59","-","0.01","1.53","30","1.58","30","148.5"
="084279","凱基87","949000","24","1037520","1.11","1.13","1","1.04","+","0.02","1","53","1.04","30","148.5"
="084280","凱基88","309000","11","178790","0.56","0.62","0.56","0.62","+","0.06","0.61","30","0.62","30","77.5"
="084281","亞東AJ","0","0","0","--","--","--","--"," ","0","1.68","10","1.71","10","17.05"
="084282","亞東AK","0","0","0","--","--","--","--"," ","0","0.83","10","0.85","10","52.9"
="084283","亞東AL","0","0","0","--","--","--","--"," ","0","1.33","10","1.36","10","16.6"
="084284","亞東AM","30000","2","6300","0.22","0.22","0.19","0.19","X","0","0.2","10","0.21","10","98.5"
="084285","亞東AN","10000","1","17500","1.75","1.75","1.75","1.75","X","0","1.77","10","1.87","10","46.5"
="084286","3W元大","254000","8","255230","1.01","1.02","0.98","1","-","0.01","1","100","1.01","120","40.4"
="084287","3X元大","41000","2","15980","0.4","0.4","0.38","0.38","-","0.04","0.37","100","0.38","100","23.5"
="084288","3Y元大","0","0","0","--","--","--","--"," ","0","0.83","100","0.84","100","17.4"
="084289","3Z元大","1035000","34","1216740","1.11","1.2","1.11","1.19","+","0.12","1.18","110","1.19","100","288"
="084290","4A元大","2187000","65","2332630","1.04","1.1","1.02","1.08","+","0.04","1.08","100","1.09","100","458"
="084291","4B元大","367000","9","397360","1.13","1.13","1.08","1.08","-","0.01","1.08","80","1.11","100","147.5"
="084292","4C元大","0","0","0","--","--","--","--"," ","0","2.25","100","2.3","100","99.8"
="084293","4D元大","0","0","0","--","--","--","--"," ","0","1.19","10","1.28","10","323.5"
="084294","中信DS","40000","1","42000","1.05","1.05","1.05","1.05","+","0.01","1","30","1.01","30","341.5"
="084295","國泰F9","79000","10","246010","2.95","3.34","2.95","3.34","+","0.4","3.34","9","3.4","1","22.7"
="084296","國泰G1","44000","6","101010","2.3","2.3","2.27","2.3","+","0.12","2.21","30","2.25","30","202"
="084297","L3永豐","0","0","0","--","--","--","--"," ","0","1.63","561","1.67","10","11.55"
="084298","L4永豐","10000","2","22540","2.23","2.27","2.23","2.27","+","0.21","2.27","499","2.3","10","22.4"
="084299","L5永豐","95000","3","171950","1.81","1.81","1.81","1.81","+","0.12","1.68","222","1.71","111","202"
="084300","L6永豐","8000","1","10640","1.33","1.33","1.33","1.33","X","0","1.27","499","1.3","100","10.5"
="084301","L7永豐","337000","8","409290","1.2","1.23","1.2","1.2","-","0.03","1.2","359","1.22","250","16.6"
="084302","群益I3","0","0","0","--","--","--","--"," ","0","0.37","25","0.38","10","20.2"
="084303","群益I4","350000","3","52500","0.15","0.15","0.15","0.15","-","0.01","0.14","25","0.15","10","13.3"
="084304","群益I5","15000","1","26850","1.79","1.79","1.79","1.79","X","0","1.8","25","1.85","10","41"
="084305","群益I6","93000","11","50680","0.52","0.56","0.51","0.56","+","0.06","0.56","25","0.57","10","45.9"
="084306","群益I7","714000","24","656320","0.94","0.94","0.89","0.9","-","0.04","0.9","25","0.91","10","80.1"
="084307","兆豐EZ","4000","1","6120","1.53","1.53","1.53","1.53","-","0.01","1.53","10","1.56","30","15.65"
="084308","兆豐FA","0","0","0","--","--","--","--"," ","0","2.36","10","2.45","30","202"
="084309","兆豐FB","7000","1","21210","3.03","3.03","3.03","3.03","+","0.09","2.93","10","3.02","30","202"
="08430P","中信A8","318000","32","9460","0.03","0.03","0.02","0.03"," ","0","0.02","30","--","0","0.00"
="084310","兆豐FC","121000","13","369200","3.25","3.25","2.9","3.09","+","0.14","3.17","10","3.18","10","41.9"
="084311","兆豐FD","451000","43","134400","0.29","0.32","0.28","0.32","+","0.02","0.31","20","0.32","9","86.2"
="084312","兆豐FE","10000","2","3900","0.39","0.39","0.39","0.39","X","0","0.43","10","0.44","30","80.5"
="084313","兆豐FF","0","0","0","--","--","--","--"," ","0","1.41","10","1.44","30","17.05"
="084314","兆豐FG","0","0","0","--","--","--","--"," ","0","0.52","10","0.53","30","20.2"
="084315","兆豐FH","2000","1","940","0.47","0.47","0.47","0.47","+","0.04","0.46","10","0.47","30","20.2"
="084316","兆豐FJ","414000","26","513700","1.23","1.31","1.19","1.28","+","0.13","1.3","20","1.31","30","59.7"
="084317","兆豐FK","604000","12","629790","1.06","1.13","1.01","1.12","+","0.03","1.15","10","1.16","30","52"
="084318","兆豐FL","603000","36","810370","1.34","1.39","1.28","1.33","-","0.29","1.36","10","1.39","30","16.6"
="084319","兆豐FM","0","0","0","--","--","--","--"," ","0","0.25","10","0.26","30","47.6"
="08431P","HU凱基","0","0","0","--","--","--","--"," ","0","0.04","30","0.05","30","0.00"
="084320","兆豐FN","73000","3","45740","0.63","0.63","0.6","0.6","+","0.08","0.63","10","0.64","30","29.25"
="084321","兆豐FP","0","0","0","--","--","--","--"," ","0","1.33","10","1.34","30","58.5"
="084322","兆豐FQ","133000","2","200320","1.5","1.51","1.5","1.51","+","0.01","1.51","10","1.53","30","148.5"
="084323","兆豐FR","36000","5","41110","1.14","1.16","1.11","1.11","-","0.03","1.12","10","1.14","60","148.5"
="084324","兆豐FU","0","0","0","--","--","--","--"," ","0","1.45","10","1.47","10","147.5"
="084325","兆豐FV","7000","6","7730","1.09","1.12","1.09","1.12","+","0.07","1.09","10","1.1","10","218.5"
="084326","日盛YS","85000","2","7650","0.09","0.09","0.09","0.09","+","0.01","0.09","25","0.1","26","86.2"
="084327","日盛YT","16000","3","9880","0.63","0.63","0.61","0.61","-","0.04","0.61","25","0.62","25","14.15"
="084328","日盛YU","0","0","0","--","--","--","--"," ","0","0.45","495","0.46","300","106.5"
="084329","日盛YV","27000","3","34290","1.27","1.27","1.27","1.27","+","0.03","1.26","25","1.27","25","30.95"
="084330","日盛YW","58000","3","124700","2.15","2.15","2.15","2.15","+","0.07","2.02","25","2.07","20","202"
="084331","日盛YZ","0","0","0","--","--","--","--"," ","0","1.35","499","1.38","10","10.5"
="084332","日盛ZA","723000","9","523720","0.72","0.8","0.7","0.8","+","0.07","0.8","173","--","0","77.7"
="084333","日盛ZB","238000","13","264590","1.08","1.18","1.08","1.12","+","0.02","1.12","198","1.13","200","74"
="084334","日盛ZC","0","0","0","--","--","--","--"," ","0","3.02","100","3.11","10","17.11"
="084335","4H元大","131000","6","9150","0.07","0.08","0.06","0.08","+","0.01","0.07","100","0.08","198","45.9"
="084336","4I元大","40000","4","67200","1.53","1.74","1.53","1.74","+","0.3","1.22","23","1.82","10","22.7"
="084337","4J元大","70000","2","135300","1.94","1.94","1.93","1.93","-","0.02","1.96","100","2.06","100","41"
="084338","4K元大","0","0","0","--","--","--","--"," ","0","0.17","10","0.18","10","25.05"
="084339","4L元大","0","0","0","--","--","--","--"," ","0","1.51","100","1.56","100","275.5"
="084340","4M元大","0","0","0","--","--","--","--"," ","0","0.94","100","0.97","100","147.5"
="084341","4N元大","5000","1","3150","0.63","0.63","0.63","0.63","-","0.03","0.63","25","0.65","10","14.15"
="084342","國泰G5","0","0","0","--","--","--","--"," ","0","2.08","30","2.16","30","17.05"
="084343","國泰G6","978000","17","806640","0.81","0.87","0.78","0.83","+","0.02","0.82","499","0.83","95","36.65"
="084344","凱基89","183000","5","170530","0.88","0.95","0.88","0.92","+","0.04","0.9","30","0.91","30","36.65"
="084345","凱基90","47000","3","64390","1.37","1.37","1.37","1.37","X","0","1.35","30","1.38","30","2680"
="084346","國票KM","0","0","0","--","--","--","--"," ","0","1.74","998","1.81","10","0.00"
="084347","國票KN","0","0","0","--","--","--","--"," ","0","1.85","998","1.89","25","0.00"
="084348","康和KJ","0","0","0","--","--","--","--"," ","0","0.25","10","0.26","10","7.67"
="084349","康和KK","0","0","0","--","--","--","--"," ","0","6.15","10","6.65","10","30.68"
="084350","玉山7Z","0","0","0","--","--","--","--"," ","0","0.21","10","0.23","10","0.00"
="084351","玉山8A","0","0","0","--","--","--","--"," ","0","3.97","10","4.06","10","0.00"
="084352","玉山8B","0","0","0","--","--","--","--"," ","0","0.39","10","0.41","10","0.00"
="084353","玉山8C","0","0","0","--","--","--","--"," ","0","2.13","10","2.16","10","0.00"
="084355","BM第一","0","0","0","--","--","--","--"," ","0","0.48","10","0.5","10","62.7"
="084356","BN第一","318000","4","215980","0.7","0.7","0.63","0.69","+","0.05","0.71","10","--","0","77.7"
="084357","統一5N","481000","3","576900","1.19","1.22","1.18","1.22","+","0.08","1.3","20","1.31","20","45.9"
="084358","L8永豐","100000","2","24500","0.25","0.25","0.24","0.24","X","0","0.23","499","0.24","150","9.69"
="084359","L9永豐","69000","2","181420","2.68","2.68","2.61","2.61","-","0.05","2.5","499","2.52","50","2680"
="084360","M1永豐","0","0","0","--","--","--","--"," ","0","0.37","499","0.38","450","24.6"
="084361","M2永豐","354000","11","205510","0.56","0.59","0.55","0.57","+","0.07","0.57","499","0.58","111","29.25"
="084362","M3永豐","0","0","0","--","--","--","--"," ","0","0.36","499","0.37","200","7.67"
="084363","群益J4","0","0","0","--","--","--","--"," ","0","0.57","25","0.58","10","20.55"
="084364","群益J5","50000","1","49500","0.99","0.99","0.99","0.99","-","0.08","0.98","25","0.99","10","25.4"
="084365","群益J6","86000","3","51540","0.6","0.6","0.59","0.59","-","0.06","0.6","25","0.61","10","109"
="084366","群益J7","3000","1","4860","1.62","1.62","1.62","1.62"," ","0","1.59","25","1.63","10","43.3"
="084367","群益J9","50000","1","13000","0.26","0.26","0.26","0.26","X","0","0.28","25","0.29","10","168"
="084368","富邦L7","10000","1","14200","1.42","1.42","1.42","1.42","-","0.31","1.41","30","1.45","30","254.5"
="084369","富邦L8","27000","3","91180","3.33","3.45","3.33","3.45","X","0","3.31","50","3.37","10","45.5"
="084370","富邦L9","10000","1","3000","0.3","0.3","0.3","0.3","X","0","0.3","12","0.31","11","98.5"
="084371","富邦M1","0","0","0","--","--","--","--"," ","0","0.3","10","0.33","10","25.05"
="084372","富邦M2","0","0","0","--","--","--","--"," ","0","0.57","50","0.59","50","77.5"
="084373","玉山8D","0","0","0","--","--","--","--"," ","0","0.9","13","0.93","13","0.00"
="084374","凱基92","20000","1","88000","4.4","4.4","4.4","4.4","X","0","4.35","30","4.41","30","84.5"
="084375","凱基93","829000","28","578770","0.73","0.73","0.67","0.72","+","0.11","0.72","70","0.73","30","29.25"
="084376","凱基94","2507000","35","1989600","0.78","0.82","0.77","0.78","+","0.04","0.76","30","0.77","30","52.9"
="084377","凱基95","0","0","0","--","--","--","--"," ","0","1.77","30","1.8","30","173"
="084378","凱基96","0","0","0","--","--","--","--"," ","0","3.78","30","3.86","30","41"
="084379","凱基97","10000","1","10400","1.04","1.04","1.04","1.04","-","0.01","1.05","30","1.06","30","54.7"
="084380","凱基98","90000","16","96690","0.99","1.1","0.99","1.04","+","0.14","1.02","30","1.05","30","88.7"
="084382","元富5F","146000","16","367710","2.41","2.61","2.41","2.61","+","0.27","2.59","25","2.6","25","288"
="084383","國票KP","55000","3","75800","1.37","1.4","1.37","1.4","+","0.09","1.39","998","1.42","10","0.00"
="084384","N4永豐","30000","1","16500","0.55","0.55","0.55","0.55","+","0.07","0.53","499","0.54","150","88.7"
="084385","N5永豐","78000","3","85900","1.08","1.12","1.06","1.12","+","0.08","1.14","100","1.15","100","31.2"
="084386","N6永豐","65000","5","34500","0.55","0.55","0.52","0.53","-","0.03","0.53","100","0.54","100","33.25"
="084387","N7永豐","0","0","0","--","--","--","--"," ","0","1.29","200","1.32","40","17.05"
="084388","N8永豐","60000","1","102000","1.7","1.7","1.7","1.7","X","0","1.7","498","1.75","10","2680"
="084389","群益K5","0","0","0","--","--","--","--"," ","0","1.93","25","1.99","10","10.5"
="084390","群益K6","10000","1","5100","0.51","0.51","0.51","0.51","-","0.08","0.5","25","0.51","10","168"
="084392","4S元大","790000","21","624560","0.77","0.86","0.76","0.85","+","0.04","0.84","100","0.85","95","52"
="084393","4T元大","407000","17","415010","0.99","1.05","0.96","1.05","+","0.07","1.01","100","1.04","100","31.2"
="084394","4U元大","1000","1","460","0.46","0.46","0.46","0.46","X","0","0.46","100","0.47","100","16.7"
="084395","國泰G7","610000","22","677860","1.15","1.15","1.03","1.14","+","0.05","1.13","30","1.14","150","173"
="084396","日盛ZD","0","0","0","--","--","--","--"," ","0","0.33","25","0.34","25","32.25"
="084397","日盛ZE","0","0","0","--","--","--","--"," ","0","2.07","25","2.13","25","11.55"
="084398","日盛ZF","0","0","0","--","--","--","--"," ","0","1.08","25","1.11","25","66.2"
="084399","日盛ZG","402000","8","371440","0.92","0.93","0.92","0.92","-","0.05","0.93","25","0.94","25","27.35"
