

2015年02月12日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
="03004X","元展04","41000","2","582200","14.2","14.2","14.2","14.2","X","0","14.5","30","14.6","35","26.45"
="03005P","4X永豐","1001000","9","10010","0.01","0.01","0.01","0.01","-","0.01","0.01","4,444","0.02","2,212","0.00"
="03005X","元展05","5000","2","61000","12.2","12.2","12.2","12.2"," ","0","12.3","74","12.4","38","24.6"
="03006P","5S凱基","726000","24","790010","1.1","1.12","1.05","1.08","-","0.01","1.07","30","1.08","30","0.00"
="03006X","元展06","117000","20","3389600","29","29.3","28.9","28.9","+","0.2","28.8","54","28.9","26","52.9"
="03007P","5T凱基","117000","5","57050","0.51","0.51","0.46","0.47","-","0.09","0.46","30","0.47","30","0.00"
="03007X","元展07","16000","4","166400","10.4","10.4","10.4","10.4","-","0.1","10.4","83","10.5","31","20.5"
="03008P","2Q群益","0","0","0","--","--","--","--"," ","0","0.01","25","0.02","10","0.00"
="03008X","元展08","489000","9","18721000","38","38.9","37.9","38.9","X","0","--","0","--","0","77.7"
="03009P","2R群益","0","0","0","--","--","--","--"," ","0","0.16","25","0.17","10","0.00"
="03009X","元展09","0","0","0","--","--","--","--"," ","0","14.6","107","14.7","34","26.75"
="03010P","C3元大","288000","7","14480","0.05","0.06","0.05","0.06"," ","0","0.05","100","0.06","820","0.00"
="03010X","元展10","299000","36","8317900","27.5","28.1","27.2","28.1","+","0.8","28","11","28.1","51","86.2"
="03011P","KE元富","12000","1","7560","0.63","0.63","0.63","0.63","X","0","0.6","25","0.61","20","0.00"
="03011X","元展11","10000","1","39900","3.99","3.99","3.99","3.99","X","0","4","83","4.01","23","8.85"
="03012P","KF元富","39000","2","15150","0.39","0.39","0.36","0.36","-","0.05","0.36","25","0.37","25","0.00"
="03012X","元展12","19000","5","207300","10.9","11","10.9","11","+","0.2","10.9","96","11","49","47.6"
="03013P","KG元富","130000","2","9100","0.07","0.07","0.07","0.07"," ","0","0.07","25","0.08","25","0.00"
="03013X","元展13","0","0","0","--","--","--","--"," ","0","5.6","90","5.7","32","13.3"
